,month,well_name,bhp,bht,dp_tubing,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,whp,wht,choke_size_percentage,oil_rate,prod_hrs,oil_vol,gas_vol,water_vol
81,July 2009,5351,231.08834962295313,105.12597903138095,154.16951571479956,7.604646983371741,29.40267000555166,76.91883390815356,76.4418208261953,45.53407833389085,2097.2424314140712,8281.95664,1265620.87,179658100.13,22472.114999999998
82,August 2009,5351,227.42424595311854,105.53434148382202,162.61357676646142,4.542947948922082,42.44263685481312,64.81066918665712,83.98636642173085,32.159883882586286,4158.893399810416,8938.78162,1378114.37,195322721.94,43265.895
83,September 2009,5351,235.0531236134964,105.61197511239901,179.72406624031078,8.86950463211949,45.543008228010976,55.329057373185634,84.46405999784047,30.34550515780154,4149.698223731197,9447.85663,1468464.1700000002,207887355.18,58540.735
84,October 2009,5351,239.79563095461774,105.6554119123419,172.41985982792343,5.602360980269957,40.312550443736775,67.37577112669429,82.67760170344653,34.16772581298992,3594.420453875956,10093.035785,1565171.4900000002,221443940.0,84639.795
85,November 2009,5351,242.72512058110885,105.90672715812833,176.03900896339684,6.259232630909344,39.807280925645955,66.68611161771202,85.79132138186627,33.75238671754199,3313.5316075497813,10802.285795,1663214.9900000002,235265823.66,123656.245
86,December 2009,5351,238.61906997865944,106.05378610269598,179.82958180131888,1.5362730789162242,43.89748769562839,58.789488177340544,87.38192239171552,25.80723586733849,2953.1871139120913,11528.952465,1752729.3400000003,247818731.44,179829.66499999998
87,January 2010,5351,237.39673844499052,105.57326725511123,182.51838739417494,0.542305597851579,45.64115870967742,54.878351050815574,86.95251343756976,22.20184228184014,2658.3478292432565,12271.119125000001,1834950.5900000003,259380033.35999998,249833.82499999998
88,February 2010,5351,158.1078946548885,67.39837445521246,134.54436808325906,1.2653307287344502,40.094765036050696,61.023226328575994,87.7719251898248,28.930594317644196,2421.5831648335693,12881.294125,1897043.5700000003,268131281.64999998,311834.07499999995
89,March 2010,5351,243.7042544967949,106.16060659804539,184.78511521828995,1.3365800265404744,41.96767210422302,58.91913927850494,85.3426050418588,26.168611908577027,2448.353270076109,13535.402445,1964032.8200000003,277553087.01,376394.92499999993
90,April 2010,5351,240.6307800587505,106.3558805191186,186.15618737703855,0.0,46.892818155788184,54.47459268171196,89.00679831700285,21.23971385468096,2568.14184999009,14215.210775,2037068.6300000004,287841557.43,446260.2349999999
